,Cycles_to_WW,Cycles_to_HPC_SV,Cycles_to_HPT_SV
Sensed_Altitude,0.006360714420749358,0.01477767924206222,-0.0123742536994833
Sensed_Mach,0.0017118028671452388,0.010525055562669158,-0.007530584415740613
Sensed_Pamb,-0.0040548909989824595,-0.016466436420401274,0.012290413307476015
Sensed_Pt2,-0.004772869381220769,-0.024238162789268294,0.019454724028500316
Sensed_TAT,-0.006789310617089786,-0.019803995523322706,0.06490584612471728
Sensed_WFuel,0.011066170980755309,-0.02993543278676352,-0.02159745611472635
Sensed_VAFN,-0.012018448457072112,-0.0023382964703803993,0.008652415710368556
Sensed_VBV,0.011751438669438731,0.019043017506943597,-0.02917404104435903
Sensed_Fan_Speed,-0.011668082239471576,-0.023418049339351057,0.040180631991609074
Sensed_Core_Speed,-0.018776148146323002,-0.027267952571364117,0.0794741677654375
Sensed_T25,0.0041231788224072325,-0.005442755918569327,-0.006262384598542399
Sensed_T3,-0.006630162938614522,-0.06584235242243146,0.036241799560005825
Sensed_Ps3,6.506278232867765e-05,-0.0061668560464334604,0.09990386445376158
Sensed_T45,-0.011195091623855118,-0.11434071999440916,-0.08010844930039586
