feature,VIF
Sensed_T25_s3,1324952.0438451734
Sensed_T45_s1,739749.3788309852
Sensed_T3_s3,671227.9318555626
Sensed_Altitude_s2,329908.04502323474
Sensed_Pamb_s2,319874.8097573556
Sensed_Altitude_s1,310899.53686928365
Sensed_Pamb_s1,305982.19488342985
Sensed_T3_s4,299823.31838793453
Sensed_T3_s1,256702.1606437627
Sensed_WFuel_s6,243755.14917717484
Sensed_T45_s6,227115.60222813723
Sensed_T3_s7,226314.65839631026
Sensed_Pamb_s8,145790.17064190257
Sensed_Pamb_s7,135661.4510709381
Sensed_Altitude_s8,131287.22510841204
Sensed_Pamb_s6,104825.15547040278
Sensed_Altitude_s7,96357.15438615979
Sensed_T45_s3,96331.82945829119
Sensed_Altitude_s6,83839.86624869057
Sensed_Fan_Speed_s4,81707.27494833361
Sensed_Fan_Speed_s1,79586.10272425525
Sensed_T3_s8,72036.06117700024
Sensed_Core_Speed_s1,67718.19332139286
Sensed_T3_s6,57248.41577030728
Sensed_VBV_s1,52708.46148420053
Sensed_T25_s1,50658.01052762985
Sensed_Fan_Speed_s7,41671.27161636632
Sensed_T25_s4,39703.69465648649
Sensed_T45_s7,30070.377458674175
Sensed_Pt2_s2,29117.967353519052
Sensed_TAT_s1,28538.40586018028
Sensed_Pt2_s1,27370.77316669418
Sensed_Pt2_s7,25840.913598434647
Sensed_T45_s4,22918.31368144057
Sensed_Fan_Speed_s3,22136.816338466997
Sensed_Fan_Speed_s6,19979.67246213043
Sensed_Core_Speed_s7,19828.087240841774
Sensed_T25_s7,19276.26180018889
Sensed_VBV_s4,19048.983612422908
Sensed_Pt2_s8,18919.191068924967
Sensed_Fan_Speed_s8,17820.995097837542
Sensed_Core_Speed_s6,17345.376773465538
Sensed_Core_Speed_s8,16419.571134568516
Sensed_Pt2_s6,16053.87208222466
Sensed_Ps3_s1,15651.976958582058
Sensed_Core_Speed_s3,15433.827367025267
Sensed_Core_Speed_s4,15112.068861549862
Sensed_Ps3_s7,14890.540410729202
Sensed_TAT_s4,13335.743300991136
Sensed_T25_s6,12896.021165653267
Sensed_VAFN_s4,12866.656298675907
Sensed_Ps3_s4,12302.696954889785
Sensed_TAT_s7,11565.623221095404
Sensed_VAFN_s6,10258.554213948666
Sensed_Mach_s2,9282.670445394222
Sensed_Pt2_s3,8309.545327761707
Sensed_Ps3_s8,8078.133093036591
Sensed_Ps3_s6,8049.988604563896
Sensed_Pamb_s3,7950.052853412698
Sensed_Ps3_s3,6658.464708346378
Sensed_Fan_Speed_s5,6362.4003101442095
Sensed_VAFN_s2,6309.749758229815
Sensed_WFuel_s7,6275.989256410653
Sensed_T45_s8,6214.19172620768
Sensed_VAFN_s7,5840.03362388871
Sensed_VBV_s5,5227.320854015536
Sensed_VAFN_s5,4979.078353213253
Sensed_TAT_s8,4829.148701748999
Sensed_TAT_s3,4798.998379985974
Sensed_TAT_s6,4460.82831624612
Sensed_T25_s8,4455.608557098471
Sensed_Fan_Speed_s2,3755.118928088566
Sensed_VAFN_s1,3695.467438410095
Sensed_Pt2_s4,3384.9829857967143
Sensed_Mach_s4,3011.042780039555
Sensed_WFuel_s8,2881.1378319471514
Sensed_WFuel_s3,2806.0290747876247
Sensed_WFuel_s1,2594.805972468395
Sensed_Altitude_s3,2203.4329964709164
Sensed_Pamb_s4,2144.84329089567
Sensed_VBV_s7,1967.97891794829
Sensed_Ps3_s5,1694.2941054165956
Sensed_VBV_s6,1580.9416932945192
Sensed_VAFN_s8,1426.5095156515113
Sensed_Mach_s7,1394.6660974898643
Sensed_WFuel_s4,1330.5114098892645
Sensed_Mach_s8,1330.2246528024532
Sensed_Pamb_s5,1264.068970894633
Sensed_Ps3_s2,1238.7179747341586
Sensed_VBV_s2,1144.451618702188
Sensed_Altitude_s5,984.6115651846321
Sensed_T3_s5,910.2221118202682
Sensed_Core_Speed_s5,895.3053080788371
Sensed_TAT_s2,769.861471609169
Sensed_WFuel_s2,683.4819317850466
Sensed_Mach_s3,634.7559025882537
Sensed_WFuel_s5,601.7921709409908
Sensed_Pt2_s5,582.5957918130656
Sensed_VAFN_s3,446.72334962933866
Sensed_Altitude_s4,404.5251686286147
Sensed_T45_s5,382.8353177157078
Sensed_VBV_s3,382.31798026921086
Sensed_VBV_s8,367.54024383093764
Sensed_Mach_s6,361.719398457312
Sensed_T25_s5,190.15826774490094
Sensed_T45_s2,140.95827015869878
Sensed_TAT_s5,117.78271030313589
Sensed_T3_s2,75.92043282315586
Sensed_Core_Speed_s2,74.17734798353534
Sensed_Mach_s5,64.84521894900365
mask_s5,18.509044305563595
Sensed_T25_s2,18.314558270963968
Sensed_Mach_s1,12.049776980825198
mask_s1,0.0
mask_s3,0.0
mask_s2,0.0
mask_s4,0.0
mask_s6,0.0
mask_s7,0.0
mask_s8,0.0
