feature,MI
ratio_Sensed_Core_Speed_Sensed_T5,0.01882290819193244
ratio_Sensed_Ps3_Sensed_P25,0.01603462454264193
diff_Sensed_Altitude_Sensed_VAFN,0.015835521962957344
ratio_Sensed_Core_Speed_Sensed_T45,0.015169082008394064
ratio_Sensed_TAT_Sensed_T5,0.014400742178958481
diff_Sensed_Mach_Sensed_P25,0.014007251137856613
diff_Sensed_T3_Sensed_T5,0.013945373111940107
ratio_Sensed_Altitude_Sensed_VBV,0.01264692974932835
ratio_Sensed_Mach_Sensed_T45,0.01172001676297807
ratio_Sensed_Altitude_Sensed_WFuel,0.011288318718716717
ratio_Sensed_Pamb_Sensed_T5,0.009305497122984896
diff_Sensed_Pamb_Sensed_VBV,0.009175199671171974
log_Sensed_Pamb,0.00895895951971415
Sensed_Pamb,0.00889572152036866
ratio_Sensed_T25_Sensed_Ps3,0.008797132359438464
diff_Sensed_Mach_Sensed_Pamb,0.008327616607996191
square_Sensed_Pamb,0.00826975212125447
sqrt_Sensed_Pamb,0.008232149204078887
ratio_Sensed_Pamb_Sensed_T3,0.008118122652183146
ratio_Sensed_T3_Sensed_T5,0.007680633721846242
